"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
1,Scope and Ownership,,1.1,Is there a team or individual responsible for endpoint security?,"This should include laptops, desktops, mobile phones, tablets, and any other user endpoint that accesses company data.",2,Yes|No|Inconsistent,,0,,,1.2||1.2,0
1,Scope and Ownership,,1.2,Provide the names of the team members or individuals responsible for endpoint security.,"Include internal and outsourced responsibilities, if applicable.",1,,, ,,,,0
1,Scope and Ownership,,1.3,Which endpoint types are in scope for this assessment? Select one or more than one.,"Select every type that can access company systems, email, file storage, VPN, SaaS platforms, or customer data.",5,Company laptops|Company desktops|Personal laptops|Company mobile phones|Personal mobile phones|Tablets|Shared devices|Other,,0,,, ,0
2,Asset Inventory,,2.1,Do you maintain an inventory of all endpoints that access company systems or data?,"This inventory should include laptops, desktops, mobile phones, tablets, and shared devices.",2,Yes|No|Inconsistent,,0,,,2.2 2.3 2.4||2.2 2.3 2.4,0
2,Asset Inventory,,2.2,Which tool is used to maintain the endpoint inventory?,"Common examples include MDM, EDR, CMDB, directory inventory, or manual asset registers.",1,,, ,,,,0
2,Asset Inventory,,2.3,Are endpoints assigned to named users or owners?,Shared devices should still have an accountable business owner.,2,Yes|No|Inconsistent,,0,,, ,0
2,Asset Inventory,,2.4,Is there a signed acknowledgement of the responsibilities associated when endpoints are assigned?,,2,Yes|No|Inconsistent,,0,,,,0
2,Asset Inventory,,2.5,Control - What evidence can you share with auditors to prove endpoint ownership is recorded?,"Typical evidence includes inventory exports, MDM records, HR onboarding records, or device assignment logs.",1,,, ,,,,0
3,Enrollment and Management,,3.1,Are company endpoints enrolled into a centralized management tool?,"Examples include MDM, UEM, EDR, configuration management, or directory-based device management.",2,Yes|No|Inconsistent,,0,,,3.2 3.3 3.4||3.2 3.3 3.4,0
3,Enrollment and Management,,3.2,Which tool is used to manage endpoints?,"For example, Microsoft Intune, Jamf, Kandji, Workspace ONE, JumpCloud, Google Endpoint Management, or another tool.",1,,, ,,,,0
3,Enrollment and Management,,3.3,Can unmanaged endpoints access company network?,This includes personal devices and devices not enrolled into MDM or EDR.,2,No|Yes|Inconsistent,,0,,, ,0
3,Enrollment and Management,,3.4,Control - What evidence can you share with auditors to prove unmanaged devices are blocked or restricted?,"Auditors typically like to see conditional access policies, MDM compliance rules, access logs, or screenshots of enforcement settings.",1,,, ,,,,0
5,Authentication and Access,,5.1,Do endpoints require centrally managed or asset owner defined authentication before access is granted to the device?,"Authentication should be required after boot, wake, and screen lock.",2,Centrally Managed|Owner Defined|Inconsistent,,0,,,5.2 5.3||5.2 5.3,0
5,Authentication and Access,,5.2,Is multi-factor authentication required for access to company systems from endpoints?,"This should include email, VPN, administrative portals, production systems, and sensitive SaaS applications.",2,Yes|No|Inconsistent,,0,,, ,0
5,Authentication and Access,,5.3,Do endpoints automatically lock after a defined period of inactivity?,The lock period should be defined by policy and technically enforced where possible.,2,Yes|No|Inconsistent,,0,,, ,0
6,Encryption and Data Protection,,6.1,Is full-disk encryption enforced on laptops and desktops?,"Examples include BitLocker, FileVault, LUKS, or equivalent encryption technologies.",2,Yes|No|Inconsistent,,0,,,6.2 6.3 6.4||6.2 6.3 6.4,0
6,Encryption and Data Protection,,6.2,Is this solution centrally managed or every asset owner must encrypt their devices on their own?,,2,Centrally Managed|Owner Defined|Inconsistent,,0,,,,0
6,Encryption and Data Protection,,6.3,Which encryption technology is used for laptops and desktops?,Include the tool name and whether recovery keys are centrally escrowed.,1,,, ,,,,0
6,Encryption and Data Protection,,6.4,Control - What evidence can you share with auditors to prove endpoint disks are encrypted?,Auditors typically like to see MDM or operating system reports showing encryption status by device.,1,,, ,,,,0
6,Encryption and Data Protection,,6.5,Is device encryption enforced on mobile phones and tablets that access company data?,This includes company-owned and approved personal mobile devices.,2,Yes|No|Inconsistent,,0,,,6.6 6.7||6.6 6.7,0
6,Encryption and Data Protection,,6.6,Which tool or setting enforces mobile and tablet encryption?,Common examples include MDM compliance policies or operating system-level encryption settings.,1,,, ,,,,0
6,Encryption and Data Protection,,6.7,"Can company data be remotely wiped from lost, stolen, or terminated-user endpoints?","This should include laptops, mobile phones, and tablets where company data is stored or synchronized.",2,Yes|No|Inconsistent,,0,,, ,0
7,Malware Protection and EDR,,7.1,"Are endpoints protected by antivirus, anti-malware, or EDR software?","This should cover laptops, desktops, and any supported servers or shared workstations in scope.",2,Yes|No|Inconsistent,,0,,,7.2 7.3 7.4||7.2 7.3 7.4,0
7,Malware Protection and EDR,,7.2,Is this solution centrally managed or every asset owner must encrypt their devices on their own?,,2,Centrally Managed|Owner Defined|Inconsistent,,0,,,,0
7,Malware Protection and EDR,,7.3,"Which antivirus, anti-malware, or EDR solution is used?","For example, Microsoft Defender for Endpoint, CrowdStrike, SentinelOne, Sophos, ESET, or similar tools.",1,,, ,,,,0
7,Malware Protection and EDR,,7.4,Control - What evidence can you share with auditors to prove endpoint protection is deployed and monitored?,"Auditors typically like to see deployment coverage reports, alert dashboards, and incident/ticket records.",1,,, ,,,,0
8,Patching and Vulnerability Management,,8.1,Are endpoint operating systems patched from a central location or updates are left to the asset owner?,"The SLA should define how quickly critical, high, medium, and low severity updates are applied.",2,Centrally Managed|Owner|Inconsistent,,0,,, ,0
8,Patching and Vulnerability Management,,8.2,Control - What evidence can you share with auditors to prove endpoint patch SLAs are met?,"Auditors typically like to see patch compliance reports, vulnerability reports, exception approvals, and remediation tickets.",1,,, ,,,,0
9,Mobile Devices and BYOD,,9.1,Are mobile phones and tablets allowed to access company data?,"Company data includes email, calendars, files, chat, SaaS applications, and customer information.",2,Yes|No|Inconsistent,,0,,,9.2 9.3 9.4 9.5||9.2 9.3 9.4 9.5,0
9,Mobile Devices and BYOD,,9.2,This includes phones not owned by the organization?,,2,Yes|No|Inconsistent,,0,,,,0
9,Mobile Devices and BYOD,,9.3,Are mobile devices centrally managed or their controls are up to the device owner?,"For example, MDM enrollment, managed applications, containerization, conditional access, or app-level data loss prevention.",2,Centrally Managed|Owner Defined|Inconsistent,,0,,,9.4||9.4,0
9,Mobile Devices and BYOD,,9.4,Which solution is used to control mobile devices?,,1,,, ,,,,0
9,Mobile Devices and BYOD,,9.5,Control - What evidence can you share with auditors to prove mobile and BYOD access is controlled?,"Typical evidence includes MDM policies, app protection policies, conditional access rules, and device compliance reports.",1,,, ,,,,0
