"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
1,Scope and Ownership,,1.1,Is there a team or individual responsible for network security?,"This should include firewalls, routers, switches, wireless controllers, VPN gateways, load balancers, and other network devices.",2,Yes|No,,0,,,1.2|,0
1,Scope and Ownership,,1.2,Provide the names of the team members or individuals responsible for network security.,"Include internal and outsourced responsibilities, if applicable.",1,,,0,,,,0
1,Scope and Ownership,,1.3,Which network components are in scope for this assessment? Select one or more than one.,"Select every component that supports company connectivity, production services, office networks, cloud connectivity, or customer-facing services.",5,Firewalls|Routers|Switches|Wireless networks|VPN gateways|Load balancers|Cloud network components|Cabling|Network data rooms|Other,,0,,,,0
2,Network Device Inventory,,2.1,Do you maintain an inventory of network devices?,"The inventory should include firewalls, routers, switches, wireless access points, controllers, VPN devices, and cloud network components.",2,Yes|No|Inconsistent,,0,,,2.2 2.3||2.2 2.3,0
2,Network Device Inventory,,2.2,Which tool or record is used to maintain the network device inventory?,"Common examples include a CMDB, network monitoring tool, asset register, cloud inventory, or configuration management platform.",1,,,0,,,,0
2,Network Device Inventory,,2.3,Control - What evidence can you share with auditors to prove network devices are inventoried?,"Typical evidence includes CMDB exports, network diagrams, monitoring tool exports, ownership records, or firewall/router inventories.",1,,,0,,,,0
3,Network Device Authentication,,3.1,Do network devices require authenticated administrative access?,"This includes local console access, SSH, web administration, cloud management portals, and controller access.",2,Yes|No|Inconsistent,,0,,,3.2 3.3 3.4 3.5||3.2 3.3 3.4 3.5,0
3,Network Device Authentication,,3.2,"Is the authentication mechanism centralized against LDAP, AD, Etc or these are local accounts?","Examples include directory authentication, TACACS+, RADIUS, SSO, privileged access management, or equivalent controls.",2,Yes|No|Inconsistent,,0,,,,0
3,Network Device Authentication,,3.3,Are accounts regularly reviewed to ensure the right people has the correct access?,"This should apply to privileged access through VPN, management portals, bastion hosts, and cloud consoles where supported.",2,Yes|No|Inconsistent,,0,,,,0
3,Network Device Authentication,,3.4,"Are default, shared, and unused administrative accounts removed or disabled?","Shared or emergency accounts should be approved, controlled, logged, and reviewed periodically.",2,Yes|No|Inconsistent,,0,,,,0
