"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
1,Issue Documentation,,1.1,Is there a team responsible for identifying software new software functionalities?,This could be one or more teams or individuals.,2,Yes|No,,,,,1.2|,0
1,Issue Documentation,,1.2,Provide the names of the team members or individuals responsible for designing new features.,,1,,,,,,,0
1,Issue Documentation,,1.3,"Provide a comma-separated list of the applications they work with (for example: application one, application two).","From now on, all answers you provide will be within the scope of these applications.",1,,,,,,,0
1,Issue Documentation,,1.4,Which tool is used to document new functionalities?,"Jira, GitHub, and similar tools are common examples.",2,Jira|Github|Other,,,,,,0
1,Issue Documentation,,1.5,Are these new functionalities reviewed by professionals who can advise on legal implications?,"For example, health, privacy, and fraud-related topics.",2,Yes|No|Inconsistently,,,,,,0
1,Issue Documentation,,1.6,Are these  functionalities reviewed by professionals who can advise on security implications?,,2,Yes|No|Inconsistently,,,,,,0
1,Issue Documentation,,1.7,Are these  functionalities documented and approved by at least two different roles?,The objective of this control is to ensure that no one can propose an idea without validation from someone else with different interests.,2,Yes|No|Inconsistently,,,,,,0
1,Product Design,,1.8,Control - What evidence can you share with auditors to prove that each  functionalities has completed the required reviews?,"Auditors typically like to see records, such as Jira or GitHub tickets, where the relevant stakeholders sign off on the feature or bug.",1,,,,,,,0
2,Development,,2.1,What is the name of the team or individuals responsible for software development?,,1,,,,,,,0
2,Development,,2.2,Are developers trained in secure software development practices?,"This training can take place once before developers join, or regularly every year, month, etc.",2,Yes|No|Inconsistently,,,,,2.3||2.3,0
2,Development,,2.3,"Control - If an auditor requests evidence of these trainings, are you confident that records are available for all relevant developers?",Auditors typically like to see certificates of completion.,2,Yes|No|Inconsistent,,,,,,0
2,Development,,2.4,Are developers allowed to use LLMs?,,2,Yes|No|Inconsistent,,,,,2.5||2.5,0
2,Development,,2.5,"Are those LLMs controlled by the organization, or are developers allowed to use their own accounts?",,2,Company|Private|Inconsistent,,,,,,0
2,Development,,2.6,Are peer reviews performed for every code push or development milestone?,,2,Yes|No|Inconsistent,,,,,2.7||2.7,0
2,Development,,2.7,Control - What evidence can you share with auditors to prove that these reviews are performed?,Auditors like to see approval workflows from two people for every push or merge.,1,,,,,,,0
3,Code Repository,,3.1,Which code repository does your company use?,"Typical examples include GitHub, GitLab, etc.",2,Github|Gitlab|Other,,,,,,0
3,Code Repository,,3.2,"Does the repository prevent unilateral merges, deployments, or similar actions without approval?",,2,Yes|No|Inconsitent,,,,,3.3||3.3,0
3,Code Repository,,3.3,"Control - If an auditor requests evidence of these approvals, are you confident that you can retrieve it?",Auditors like to see repository configurations that prevent unilateral decisions.,2,Yes|No|Inconsitent,,,,,,0
3,Code Repository,,3.4,"Control - Are automatic scans performed for credentials, keys, secrets, and similar sensitive data in code repositories?",,2,Yes|No|Inconsitent,,,,,,0
3,Code Repository,,3.5,"Do user accounts on that code repository authenticate locally or through a central directory (for example, SAML)?",,2,Local|Remote,,,,,,0
3,Code Repository,,3.6,Is MFA enforced for these user accounts?,,2,Yes|No|Inconsitent,,,,,,0
3,Code Repository,,3.7,Are CI pipelines used?,,2,Yes|No|Inconsitent,,,,,3.8||,0
3,Code Repository,,3.8,Select the actions this pipeline performs (one or more),,5,Library Updates|Code Review|Static Analysis|Compile Errors|Translations|Dev Environments|Push to Production|Other,,,,,,0
4,Third Party Libraries,,4.1,Are third-party or open-source components used?,,2,Yes|No|Not sure,,,,,4.2 4.3||4.2 4.3,0
4,Third Party Libraries,,4.2,Are regular checks performed to confirm that open-source components are up to date and meet license requirements?,,2,Yes|No|Inconsitent,,,,,4.3||4.3,0
4,Third Party Libraries,,4.3,What evidence can you share with auditors to prove that third-party library reviews are performed?,"This typically includes manual reviews where the outcome is documented, or automated tools that scan for specific patterns.",1,,,,,,,0
5,Outsourcing,,5.1,"Do you outsource software development, or is all development performed in-house?",Sometimes a mix of both is used.,2,In House|Outsourced|Mix,,,,,|5.2 5.3 5.4 5.5|5.2 5.3 5.4 5.5,0
5,Outsourcing,,5.2,Provide the names of the suppliers.,,1,,,,,,,0
5,Outsourcing,,5.3,"Do you have contracts in place to protect intellectual property, confidentiality, and similar obligations?",,2,Yes|No,,,,,,0
5,Outsourcing,,5.4,"Does anyone in-house review the architecture, code, and testing delivered by outsourced providers?",,2,Yes|No,,,,,,0
5,Outsourcing,,5.5,Control - What evidence can you share with auditors to prove that these reviews are performed?,"Auditors like to see some form of written review, ideally with approval, for every functionality and/or release.",1,,,,,,,0
6,Testing,,6.1,Do you have a dedicated testing department or individuals doing this job full time?,,2,Department|Individuals|No one with that role,,,,,6.2|6.2|,0
6,Testing,,6.2,Provide the name of the department or individual,,1,,,,,,,0
6,Testing,,6.3,Can you confirm that no testing environment runs on production infrastructure?,,2,Yes|No|Inconsistent,,,,,,0
6,Testing,,6.4,What type of testing is done at this pre-production stage? Select one or more than one.,,5,None|Functional|Security|Load Testing|Others,,,,,,0
6,Testing,,6.5,Control - What evidence can you share with auditors to prove that testing records exist for every feature?,"Auditors like to see testing evidence attached to the release, branch, or feature.",1,,,,,,,0
7,Release Planning,,7.1,The decision of what features are part of a release is done by whom?,,1,,,,,,,0
7,Release Planning,,7.2,Control - What evidence can you share with auditors to prove that decision is made consistently?,,1,,,,,,,0
7,Release Planning,,7.3,Is penetration testing performed on every release?,,2,Yes|No|Inconsistent,,,,,7.4||7.4,0
7,Release Planning,,7.4,Control - What evidence can you share with auditors to prove that these penetration tests are performed?,Auditors like to see reports that match every release.,1,,,,,,,0
8,Deployment,,8.1,How automated is the production deployment process?,"This typically involves CI pipelines with tools such as GitHub, GitLab, Jenkins, etc.",2,Fully Automated|Manual and Automated|Manual,,,,,|8.2|8.2,0
8,Deployment,,8.2,Describe which tasks are NOT automated and performed manually,,1,,,,,,,0
8,Deployment,,8.3,Is production fully segregated from development environments?,,2,Yes|No|Inconsistent,,,,,,0
8,Deployment,,8.4,"Do developers have privileged access to production systems, applications, or related resources?","This includes allowing them to change code directly, connect to and query databases, shut down systems, start systems, etc.",2,Yes|No|Inconsistent,,,,,,0
9,Vulnerabilities,,9.1,Which team is responsible for receiving and processing application security vulnerabilities?,,1,,,,,,,0
9,Vulnerabilities,,9.2,Do you have a defined SLA for resolving these vulnerabilities?,"SLAs are typically measured in days, weeks, etc., from the date the vulnerability is first found.",2,Yes|No|Inconsistent,,,,,9.3||9.3,0
9,Vulnerabilities,,9.3,Control - What evidence can you share with auditors to prove that the vulnerability SLA has been consistently met?,,1,,,,,,,0
10,Documentation,,10.1,Please attach any documentation (only if it is updated and approved) that can help us process your feedback,,1,,,,,,,1
